frame,feature,original_raw,input_derived_raw,output_derived_raw,output_minus_original,output_minus_input
0,cloud_s2_fraction,0.6837499737739563,0.347757488489151,0.6064943671226501,-0.07725560665130615,0.25873687863349915
0,cloud_s2_prob_mean,0.5094670057296753,0.21495985984802246,0.054257988929748535,-0.45520901679992676,-0.16070187091827393
0,cloud_s2_prob_std,0.3099219799041748,0.26766249537467957,0.1442755162715912,-0.16564646363258362,-0.12338697910308838
0,cloud_s2_prob_p90,0.9870586395263672,0.6392157077789307,0.23990797996520996,-0.7471506595611572,-0.3993077278137207
0,cloud_s2_aot_mean,0.08666636794805527,0.05750275403261185,0.0007571280002593994,-0.08590923994779587,-0.05674562603235245
0,cloud_s2_cirrus_fraction,0.4831250309944153,0.4831250309944153,0.7015073895454407,0.2183823585510254,0.2183823585510254
0,cloud_s2_high_fraction,0.08374999463558197,0.04901731014251709,0.014891743659973145,-0.06885825097560883,-0.034125566482543945
0,cloud_s2_medium_fraction,0.11687500029802322,0.06882137805223465,0.018218353390693665,-0.09865664690732956,-0.050603024661540985
0,cloud_s2_edge_density,0.14807692170143127,0.700545072555542,0.45484256744384766,0.3067656457424164,-0.24570250511169434
0,cloud_s2_texture_std,0.17436513304710388,0.10625637322664261,0.03582702577114105,-0.13853810727596283,-0.07042934745550156
1,cloud_s2_fraction,0.6837499737739563,0.3473203182220459,0.6209027171134949,-0.06284725666046143,0.273582398891449
1,cloud_s2_prob_mean,0.5094670057296753,0.21329426765441895,0.050254225730895996,-0.4592127799987793,-0.16304004192352295
1,cloud_s2_prob_std,0.3099219799041748,0.2658064067363739,0.13770224153995514,-0.17221973836421967,-0.12810416519641876
1,cloud_s2_prob_p90,0.9870586395263672,0.6239200830459595,0.21361076831817627,-0.7734478712081909,-0.4103093147277832
1,cloud_s2_aot_mean,0.08666636794805527,0.05750275403261185,0.00047113001346588135,-0.08619523793458939,-0.057031624019145966
1,cloud_s2_cirrus_fraction,0.4831250309944153,0.4831250309944153,0.7105819582939148,0.2274569272994995,0.2274569272994995
1,cloud_s2_high_fraction,0.08374999463558197,0.049125924706459045,0.01411619782447815,-0.06963379681110382,-0.035009726881980896
1,cloud_s2_medium_fraction,0.11687500029802322,0.06819408386945724,0.018324971199035645,-0.09855002909898758,-0.0498691126704216
1,cloud_s2_edge_density,0.14807692170143127,0.7010141611099243,0.4411672353744507,0.2930903136730194,-0.25984692573547363
1,cloud_s2_texture_std,0.17436513304710388,0.10523274540901184,0.0344877690076828,-0.13987736403942108,-0.07074497640132904
2,cloud_s2_fraction,0.6837499737739563,0.34850963950157166,0.6191049218177795,-0.06464505195617676,0.2705952823162079
2,cloud_s2_prob_mean,0.5094670057296753,0.21571248769760132,0.5882912874221802,0.07882428169250488,0.37257879972457886
2,cloud_s2_prob_std,0.3099219799041748,0.26731428503990173,0.257510244846344,-0.05241173505783081,-0.00980404019355774
2,cloud_s2_prob_p90,0.9870586395263672,0.6392157077789307,1.0,0.012941360473632812,0.36078429222106934
2,cloud_s2_aot_mean,0.08666636794805527,0.05750275403261185,0.0002716928720474243,-0.08639467507600784,-0.05723106116056442
2,cloud_s2_cirrus_fraction,0.4831250309944153,0.4831250309944153,0.26736924052238464,-0.21575579047203064,-0.21575579047203064
2,cloud_s2_high_fraction,0.08374999463558197,0.04889337718486786,0.025846093893051147,-0.05790390074253082,-0.02304728329181671
2,cloud_s2_medium_fraction,0.11687500029802322,0.06912760436534882,0.4613592028617859,0.34448421001434326,0.3922315835952759
2,cloud_s2_edge_density,0.14807692170143127,0.7037062048912048,0.4404645562171936,0.29238763451576233,-0.26324164867401123
2,cloud_s2_texture_std,0.17436513304710388,0.1049325242638588,0.07578159868717194,-0.09858353435993195,-0.02915092557668686
3,cloud_s2_fraction,0.6837499737739563,0.35406631231307983,0.6207336783409119,-0.06301629543304443,0.26666736602783203
3,cloud_s2_prob_mean,0.5094670057296753,0.21513953804969788,0.5853332877159119,0.07586628198623657,0.370193749666214
3,cloud_s2_prob_std,0.3099219799041748,0.26684463024139404,0.2580214738845825,-0.051900506019592285,-0.008823156356811523
3,cloud_s2_prob_p90,0.9870586395263672,0.6352941393852234,1.0,0.012941360473632812,0.3647058606147766
3,cloud_s2_aot_mean,0.08666636794805527,0.05750275403261185,0.3641165792942047,0.27745020389556885,0.30661383271217346
3,cloud_s2_cirrus_fraction,0.4831250309944153,0.4831250309944153,0.2535775303840637,-0.22954750061035156,-0.22954750061035156
3,cloud_s2_high_fraction,0.08374999463558197,0.04843243956565857,0.02373199164867401,-0.06001800298690796,-0.024700447916984558
3,cloud_s2_medium_fraction,0.11687500029802322,0.06763096898794174,0.4547099471092224,0.3378349542617798,0.3870789706707001
3,cloud_s2_edge_density,0.14807692170143127,0.7009522914886475,0.44226914644241333,0.29419222474098206,-0.25868314504623413
3,cloud_s2_texture_std,0.17436513304710388,0.10546740889549255,0.17018772661685944,-0.004177406430244446,0.06472031772136688
