template_index,prob,sample_id,location,anchor,coverage
108,0.20462638139724731,oslo_no_20250804T110000Z_s2b_msil2a_20250804t1036,oslo_no,2025-08-04T11:00:00+00:00,0.6610787014166514
74,0.15202656388282776,reykjavik_is_20241112T130000Z_s2b_msil2a_20241112t1313,reykjavik_is,2024-11-12T13:00:00+00:00,0.4246074954668681
95,0.07032810896635056,athens_gr_20250223T090000Z_s2c_msil2a_20250223t0910,athens_gr,2025-02-23T09:00:00+00:00,0.5501035551230112
97,0.05939149111509323,helsinki_fi_20250521T100000Z_s2b_msil2a_20250521t0950,helsinki_fi,2025-05-21T10:00:00+00:00,0.5241233309110006
71,0.046512361615896225,milan_it_20241116T100000Z_s2a_msil2a_20241116t1023,milan_it,2024-11-16T10:00:00+00:00,0.4266733129819234
30,0.03421959653496742,cairo_eg_20250201T090000Z_s2c_msil2a_20250201t0832,cairo_eg,2025-02-01T09:00:00+00:00,0.2397469381491343
43,0.028614969924092293,athens_gr_20250330T090000Z_s2b_msil2a_20250330t0905,athens_gr,2025-03-30T09:00:00+00:00,0.30252206822236377
7,0.02583232708275318,helsinki_fi_20250806T100000Z_s2b_msil2a_20250806t0940,helsinki_fi,2025-08-06T10:00:00+00:00,0.17310794815421104
2,0.022922193631529808,helsinki_fi_20250809T100000Z_s2b_msil2a_20250809t0950,helsinki_fi,2025-08-09T10:00:00+00:00,0.18623294060428938
40,0.020213384181261063,sofia_bg_20250711T090000Z_s2b_msil2a_20250711t0920,sofia_bg,2025-07-11T09:00:00+00:00,0.3815840979417165
88,0.019396984949707985,reykjavik_is_20250428T130000Z_s2a_msil2a_20250428t1313,reykjavik_is,2025-04-28T13:00:00+00:00,0.5267679591973623
81,0.01675235666334629,london_uk_20250805T110000Z_s2c_msil2a_20250805t1056,london_uk,2025-08-05T11:00:00+00:00,0.5739525556564331
84,0.014283299446105957,oslo_no_20250804T110000Z_s2b_msil2a_20250804t1036,oslo_no,2025-08-04T11:00:00+00:00,0.5864318907260895
53,0.012167616747319698,athens_gr_20250327T090000Z_s2a_msil2a_20250327t0910,athens_gr,2025-03-27T09:00:00+00:00,0.3599638342857361
105,0.011861366219818592,athens_gr_20250213T090000Z_s2c_msil2a_20250213t0911,athens_gr,2025-02-13T09:00:00+00:00,0.6927434106667837
124,0.010829450562596321,london_uk_20250726T110000Z_s2c_msil2a_20250726t1056,london_uk,2025-07-26T11:00:00+00:00,0.8083222309748331
56,0.009744765236973763,reykjavik_is_20250403T130000Z_s2c_msil2a_20250403t1303,reykjavik_is,2025-04-03T13:00:00+00:00,0.49110610286394757
85,0.009010959416627884,sofia_bg_20250519T090000Z_s2a_msil2a_20250519t0920,sofia_bg,2025-05-19T09:00:00+00:00,0.5792101621627808
72,0.008881201036274433,oslo_no_20250715T110000Z_s2b_msil2a_20250715t1036,oslo_no,2025-07-15T11:00:00+00:00,0.4710356791814168
83,0.008703995496034622,oslo_no_20250807T110000Z_s2b_msil2a_20250807t1046,oslo_no,2025-08-07T11:00:00+00:00,0.5913864175478617
